Paper_ID,Reference_No,Title,Year,Full_Reference
P065,65,"Depth anything V2. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 37 (2024)",2024,"Yang, L., Kang, B., Huang, Z., Zhao, Z., Xu, X., Feng, J., Zhao, H.: Depth anything V2. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 37 (2024)"
P066,66,"Repurposing diffusion-based image generators for monocular depth estimation. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 9492–9502 (2024)",2024,"Ke, B., Obukhov, A., Huang, S., Metzger, N., Daudt, R.C., Schindler, K.: Repurposing diffusion-based image generators for monocular depth estimation. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 9492–9502 (2024)"
P067,67,"Indoor segmentation and support inference from RGBD images. In: Proceedings of the European Conference 51 on Computer Vision (ECCV), pp. 746–760 (2012)",2012,"Silberman, N., Hoiem, D., Kohli, P., Fergus, R.: Indoor segmentation and support inference from RGBD images. In: Proceedings of the European Conference 51 on Computer Vision (ECCV), pp. 746–760 (2012)"
P068,68,"Are we ready for autonomous driving? the KITTI vision benchmark suite. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 3354–3361 (2012)",2012,"Geiger, A., Lenz, P., Urtasun, R.: Are we ready for autonomous driving? the KITTI vision benchmark suite. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 3354–3361 (2012)"
P069,69,MiDaS v3.1—a model zoo for robust monocular relative depth estimation. arXiv preprint arXiv:2307.14460 (2023),2023,"Birkl, R.,Wofk, D., M¨uller, M.: MiDaS v3.1—a model zoo for robust monocular relative depth estimation. arXiv preprint arXiv:2307.14460 (2023)"
P070,70,Metric3D v2: A versatile monocular geometric foundation model for zero-shot metric depth and surface normal estimation. IEEE Transactions on Pattern Analysis and Machine Intelligence (2024),2024,"Yin, W., Zhang, C., Chen, H., Cai, Z., Yu, G., Wang, K., Chen, X., Shen, C.: Metric3D v2: A versatile monocular geometric foundation model for zero-shot metric depth and surface normal estimation. IEEE Transactions on Pattern Analysis and Machine Intelligence (2024)"
P071,71,"SwinIR: Image restoration using swin transformer. In: Proceedings of the IEEE/CVF International Conference on Computer Vision Workshops (ICCVW), pp. 1833– 1844 (2021)",2021,"Liang, J., Cao, J., Sun, G., Zhang, K., Van Gool, L., Timofte, R.: SwinIR: Image restoration using swin transformer. In: Proceedings of the IEEE/CVF International Conference on Computer Vision Workshops (ICCVW), pp. 1833– 1844 (2021)"
P072,72,"Real-ESRGAN: Training real-world blind super-resolution with pure synthetic data. In: Proceedings of the IEEE/CVF International Conference on Computer Vision Workshops (ICCVW), pp. 1905– 1914 (2021)",1905,"Wang, X., Xie, L., Dong, C., Shan, Y.: Real-ESRGAN: Training real-world blind super-resolution with pure synthetic data. In: Proceedings of the IEEE/CVF International Conference on Computer Vision Workshops (ICCVW), pp. 1905– 1914 (2021)"
P073,73,DiffBIR: Towards blind image restoration via generative diffusion prior. In: Proceedings of the European Conference on Computer Vision (ECCV) (2024),2024,"Lin, X., He, J., Chen, Z., Lyu, Z., Fei, B., Dai, B., Ouyang, W., Zhu, F., Loy, C.C.: DiffBIR: Towards blind image restoration via generative diffusion prior. In: Proceedings of the European Conference on Computer Vision (ECCV) (2024)"
P074,74,"SeeSR: Towards semantics-aware real-world image super-resolution. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 25456–25467 (2024)",2024,"Wu, R., Yang, T., Sun, L., Zhang, Z., Li, S., Zhang, L.: SeeSR: Towards semantics-aware real-world image super-resolution. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 25456–25467 (2024)"
P075,75,"Low-complexity single-image super-resolution based on nonnegative neighbor embedding. In: Proceedings of the British Machine Vision Conference (BMVC), pp. 135–113510 (2012)",2012,"Bevilacqua, M., Roumy, A., Guillemot, C., Alberi-Morel, M.-L.: Low-complexity single-image super-resolution based on nonnegative neighbor embedding. In: Proceedings of the British Machine Vision Conference (BMVC), pp. 135–113510 (2012)"
P076,76,"Image super-resolution using very deep residual channel attention networks. In: Proceedings of the European Conference on Computer Vision (ECCV), pp. 286–301 (2018)",2018,"Zhang, Y., Li, K., Li, K., Wang, L., Zhong, B., Fu, Y.: Image super-resolution using very deep residual channel attention networks. In: Proceedings of the European Conference on Computer Vision (ECCV), pp. 286–301 (2018)"
P077,77,"ESRGAN: Enhanced super-resolution generative adversarial networks. In: Proceedings of the European Conference on Computer Vision Workshops (ECCVW), pp. 63–79 (2018) 52",2018,"Wang, X., Yu, K., Wu, S., Gu, J., Liu, Y., Dong, C., Qiao, Y., Loy, C.C.: ESRGAN: Enhanced super-resolution generative adversarial networks. In: Proceedings of the European Conference on Computer Vision Workshops (ECCVW), pp. 63–79 (2018) 52"
P078,78,"Activating more pixels in image super-resolution transformer. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 22367–22377 (2023)",2023,"Chen, X., Wang, X., Zhou, J., Qiao, Y., Dong, C.: Activating more pixels in image super-resolution transformer. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 22367–22377 (2023)"
P079,79,"Segment anything in medical images. Nature Communications 15, 654 (2024) https://doi.org/10.1038/ s41467-024-44824-z",2024,"Ma, J., He, Y., Li, F., Han, L., You, C., Wang, B.: Segment anything in medical images. Nature Communications 15, 654 (2024) https://doi.org/10.1038/ s41467-024-44824-z"
P080,80,"nnUNet: A self-configuring method for deep learning-based biomedical image segmentation. Nature Methods 18(2), 203–211 (2021)",2021,"Isensee, F., Jaeger, P.F., Kohl, S.A.A., Petersen, J., Maier-Hein, K.H.: nnUNet: A self-configuring method for deep learning-based biomedical image segmentation. Nature Methods 18(2), 203–211 (2021)"
P081,81,Medical SAM adapter: Adapting segment anything model for medical image segmentation. arXiv preprint arXiv:2304.12620 (2024). Preprint; peer-review status unconfirmed at time of submission,2024,"Wu, J., Fu, R., Fang, H., Liu, Y.,Wang, Z., Xu, Y., Zhang, Y., Jin, T., Arbel, T.: Medical SAM adapter: Adapting segment anything model for medical image segmentation. arXiv preprint arXiv:2304.12620 (2024). Preprint; peer-review status unconfirmed at time of submission"
P082,82,SAM-Med2D. arXiv preprint arXiv:2308.16184 (2023). Preprint; peer-review status unconfirmed at time of submission,2023,"Cheng, J., Ye, J., Deng, Z., Chen, J., Li, T., Wang, H., Su, Y., Huang, Z., Chen, J., Jiang, L., et al.: SAM-Med2D. arXiv preprint arXiv:2308.16184 (2023). Preprint; peer-review status unconfirmed at time of submission"
P083,83,A narrative review of foundation models for medical image segmentation: Zero-shot performance evaluation on diverse modalities. Quantitative Imaging in Medicine and Surgery 15(3) (2025),2025,"Noh, B., et al.: A narrative review of foundation models for medical image segmentation: Zero-shot performance evaluation on diverse modalities. Quantitative Imaging in Medicine and Surgery 15(3) (2025)"
P084,84,Medical SAM 2: Segment medical images as video via segment anything model 2. arXiv preprint arXiv:2408.00874 (2024). Preprint; peer-review status unconfirmed at time of submission,2024,"Yang, X., Zhao, X., Cao, C., Nie, J., Yi, H., Yang, X.: Medical SAM 2: Segment medical images as video via segment anything model 2. arXiv preprint arXiv:2408.00874 (2024). Preprint; peer-review status unconfirmed at time of submission"
P085,85,"LLaVA-Med: Training a large language-and-vision assistant for biomedicine in one day. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 36 (2023)",2023,"Li, C.,Wong, C., Zhang, S., Usuyama, N., Liu, H., Yang, J., Naumann, T., Poon, H., Gao, J.: LLaVA-Med: Training a large language-and-vision assistant for biomedicine in one day. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 36 (2023)"
P086,86,BiomedCLIP: A multimodal biomedical foundation model pretrained from fifteen million scientific image-text pairs. arXiv preprint arXiv:2303.00915 (2024). Preprint; peer-review status unconfirmed at time of submission,2024,"Zhang, S., Xu, Y., Usuyama, N., Xu, H., Bagga, J., Tinn, R., Preston, S., Rao, R., Wei, M., Valluri, N., et al.: BiomedCLIP: A multimodal biomedical foundation model pretrained from fifteen million scientific image-text pairs. arXiv preprint arXiv:2303.00915 (2024). Preprint; peer-review status unconfirmed at time of submission"
P087,87,Med-Flamingo: A multimodal medical few-shot learner. In: Machine Learning for Health (ML4H) (2023),2023,"Moor, M., Huang, Q., Wu, S., Usuyama, N., Banerjee, I., Sim, I., Bhatt, D.L., Zakka, C., Dettmers, T., Shah, N.H., et al.: Med-Flamingo: A multimodal medical few-shot learner. In: Machine Learning for Health (ML4H) (2023)"
P088,88,Multimodal language models cannot 53 spot spatial inconsistencies. arXiv preprint arXiv:2604.00799 (2025). Preprint; peer-review status unconfirmed at time of submission,2025,"Khangaonkar, O., Rad, H.J., Pirsiavash, H.: Multimodal language models cannot 53 spot spatial inconsistencies. arXiv preprint arXiv:2604.00799 (2025). Preprint; peer-review status unconfirmed at time of submission"
P089,89,S-NeRF++: Autonomous driving simulation via neural reconstruction and generation. arXiv preprint arXiv:2402.02112 (2024). Preprint; peer-review status unconfirmed at time of submission,2024,"Chen, Y., et al.: S-NeRF++: Autonomous driving simulation via neural reconstruction and generation. arXiv preprint arXiv:2402.02112 (2024). Preprint; peer-review status unconfirmed at time of submission"
P090,90,"nuScenes: A multimodal dataset for autonomous driving. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 11621–11631 (2020)",2020,"Caesar, H., Bankiti, V., Lang, A.H., Vora, S., Liong, V.E., Xu, Q., Krishnan, A., Pan, Y., Baldan, G., Beijbom, O.: nuScenes: A multimodal dataset for autonomous driving. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 11621–11631 (2020)"
P091,91,"Scalability in perception for autonomous driving: Waymo open dataset. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 2446–2454 (2020)",2020,"Sun, P., Kretzschmar, H., Dotiwalla, X., Chouard, A., Patnaik, V., Tsui, P., Guo, J., Zhou, Y., Chai, Y., Caine, B., et al.: Scalability in perception for autonomous driving: Waymo open dataset. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 2446–2454 (2020)"
P092,92,NuScenes-SpatialQA: A spatial understanding and reasoning benchmark for vision-language models in autonomous driving. arXiv preprint arXiv:2504.03164 (2025). Preprint; peer-review status unconfirmed at time of submission,2025,"Qian, T., et al.: NuScenes-SpatialQA: A spatial understanding and reasoning benchmark for vision-language models in autonomous driving. arXiv preprint arXiv:2504.03164 (2025). Preprint; peer-review status unconfirmed at time of submission"
P093,93,FG-CLIP: Fine-grained visual and textual alignment. In: Proceedings of the International Conference on Machine Learning (ICML) (2025). arXiv:2505.05071,2025,"Fang, Y., et al.: FG-CLIP: Fine-grained visual and textual alignment. In: Proceedings of the International Conference on Machine Learning (ICML) (2025). arXiv:2505.05071"
P094,94,Is CLIP the main roadblock for fine-grained openworld perception? arXiv preprint arXiv:2404.03539 (2024). Preprint; peer-review status unconfirmed at time of submission,2024,"Bangalath, A., et al.: Is CLIP the main roadblock for fine-grained openworld perception? arXiv preprint arXiv:2404.03539 (2024). Preprint; peer-review status unconfirmed at time of submission"
P095,95,ViTRIX-CLIPIN: Enhancing fine-grained visual understanding in CLIP via instruction editing data and long captions. arXiv preprint arXiv:2508.02329 (2025). Preprint; peer-review status unconfirmed at time of submission,2025,"Wang, Z., et al.: ViTRIX-CLIPIN: Enhancing fine-grained visual understanding in CLIP via instruction editing data and long captions. arXiv preprint arXiv:2508.02329 (2025). Preprint; peer-review status unconfirmed at time of submission"
P096,96,Spatial reasoning is not a free lunch: A controlled study on LLaVA. arXiv preprint arXiv:2603.12545 (2025). Preprint; peer-review status unconfirmed at time of submission,2025,"Sima, A., et al.: Spatial reasoning is not a free lunch: A controlled study on LLaVA. arXiv preprint arXiv:2603.12545 (2025). Preprint; peer-review status unconfirmed at time of submission"
P097,97,Is CLIP cross-eyed? revealing and mitigating center bias in the CLIP family. arXiv preprint arXiv:2604.05971 (2025). Preprint; peer-review status unconfirmed at time of submission,2025,"Chew, O., Huang, H.-Y., Jain, K., Chen, T.-I., Doan, K.D., Huang, K.-H.: Is CLIP cross-eyed? revealing and mitigating center bias in the CLIP family. arXiv preprint arXiv:2604.05971 (2025). Preprint; peer-review status unconfirmed at time of submission"
P098,98,"Segment anything model for medical images?, vol. 92, p. 103061 (2024). https://doi.org/10.1016/j.media.2023.103061 54",2024,"Zhang, K., Liu, D., Xu, J., et al.: Segment anything model for medical images?, vol. 92, p. 103061 (2024). https://doi.org/10.1016/j.media.2023.103061 54"
P099,99,"SAM-PM: Enhancing video camouflaged object detection using spatio-temporal attention. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW), pp. 1857–1866 (2024)",2024,"Meeran, M.N., Adethya, T.G., Mantha, B.P.: SAM-PM: Enhancing video camouflaged object detection using spatio-temporal attention. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW), pp. 1857–1866 (2024)"
P100,100,Improving viewpoint consistency in 3D generation via structure feature and CLIP guidance. arXiv preprint arXiv:2412.02287 (2024). Preprint; peer-review status unconfirmed at time of submission,2024,"Zhang, Q., Tong, J., Zhang, J., Hong, J., Li, X.: Improving viewpoint consistency in 3D generation via structure feature and CLIP guidance. arXiv preprint arXiv:2412.02287 (2024). Preprint; peer-review status unconfirmed at time of submission"
P101,101,"Easily accessible text-to-image generation amplifies demographic stereotypes at large scale, 1493–1504 (2023)",2023,"Bianchi, F., Kalluri, P., Durmus, E., Ladd, F., Choi, M., Hashimoto, T.: Easily accessible text-to-image generation amplifies demographic stereotypes at large scale, 1493–1504 (2023)"
P102,102,Hallucination of multimodal large language models: A survey. arXiv preprint arXiv:2404.18930 (2024). Preprint; peer-review status unconfirmed at time of submission,2024,"Bai, J., et al.: Hallucination of multimodal large language models: A survey. arXiv preprint arXiv:2404.18930 (2024). Preprint; peer-review status unconfirmed at time of submission"
P103,103,"Evaluating object hallucination in large vision-language models. In: Proceedings of the Conference on Empirical Methods in Natural Language Processing (EMNLP), pp. 292–305 (2023)",2023,"Li, Y., Du, Y., Zhou, K., Wang, J., Zhao, W.X., Wen, J.-R.: Evaluating object hallucination in large vision-language models. In: Proceedings of the Conference on Empirical Methods in Natural Language Processing (EMNLP), pp. 292–305 (2023)"
P104,104,MindJourney: Test-time scaling with world models for spatial reasoning. arXiv preprint arXiv:2507.12508 (2025). Preprint; peer-review status unconfirmed at time of submission,2025,"Cheng, Z., et al.: MindJourney: Test-time scaling with world models for spatial reasoning. arXiv preprint arXiv:2507.12508 (2025). Preprint; peer-review status unconfirmed at time of submission"
P105,105,"Semantic understanding of scenes through the ADE20K dataset. International Journal of Computer Vision 127(3), 302–321 (2019)",2019,"Zhou, B., Zhao, H., Puig, X., Xiao, T., Fidler, S., Barriuso, A., Torralba, A.: Semantic understanding of scenes through the ADE20K dataset. International Journal of Computer Vision 127(3), 302–321 (2019)"
P106,106,ShapeNet: An information-rich 3D model repository. arXiv preprint arXiv:1512.03012 (2015),2015,"Chang, A.X., Funkhouser, T., Guibas, L., Hanrahan, P., Huang, Q., Li, Z., Savarese, S., Savva, M., Song, S., Su, H., et al.: ShapeNet: An information-rich 3D model repository. arXiv preprint arXiv:1512.03012 (2015)"
P107,107,"Objaverse: A universe of annotated 3D objects. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 13142–13153 (2023)",2023,"Deitke, M., Schwenk, D., Salvador, J., Weihs, L., Michel, O., VanderBilt, E., Schmidt, L., Ehsani, K., Kembhavi, A., Farhadi, A.: Objaverse: A universe of annotated 3D objects. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 13142–13153 (2023)"
P108,108,"Objaverse-XL: A universe of 10m+ 3D objects. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 36 (2023)",2023,"Deitke, M., Liu, R., Wallingford, M., Ngo, H., Michel, O., Kusupati, A., Fan, A., Laforte, C., Voleti, V., Gadre, S.Y., et al.: Objaverse-XL: A universe of 10m+ 3D objects. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 36 (2023)"
P109,109,"ScanNet: Richly-annotated 3D reconstructions of indoor scenes. In: Proceedings 55 of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 5828–5839 (2017)",2017,"Dai, A., Chang, A.X., Savva, M., Halber, M., Funkhouser, T., Nießner, M.: ScanNet: Richly-annotated 3D reconstructions of indoor scenes. In: Proceedings 55 of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 5828–5839 (2017)"
P110,110,"SLAKE: A semantically-labeled knowledge-enhanced dataset for medical visual question answering. In: Proceedings of the IEEE International Symposium on Biomedical Imaging (ISBI), pp. 1650–1654 (2021)",2021,"Liu, B., Zhan, L.-M., Xu, L., Ma, L., Yang, Y., Wu, X.-M.: SLAKE: A semantically-labeled knowledge-enhanced dataset for medical visual question answering. In: Proceedings of the IEEE International Symposium on Biomedical Imaging (ISBI), pp. 1650–1654 (2021)"
P111,111,"ImageNet large scale visual recognition challenge. International Journal of Computer Vision 115(3), 211–252 (2015)",2015,"Russakovsky, O., Deng, J., Su, H., Krause, J., Satheesh, S., Ma, S., Huang, Z., Karpathy, A., Khosla, A., Bernstein, M., et al.: ImageNet large scale visual recognition challenge. International Journal of Computer Vision 115(3), 211–252 (2015)"
P112,112,"LAION-5B: An open large-scale dataset for training next generation image-text models. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 35, pp. 25278–25294 (2022)",2022,"Schuhmann, C., Beaumont, R., Vencu, R., Gordon, C., Wightman, R., Cherti, M., Coombes, T., Katta, A., Mullis, C., Wortsman, M., et al.: LAION-5B: An open large-scale dataset for training next generation image-text models. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 35, pp. 25278–25294 (2022)"
P113,113,"The unreasonable effectiveness of deep features as a perceptual metric. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 586–595 (2018)",2018,"Zhang, R., Isola, P., Efros, A.A., Shechtman, E., Wang, O.: The unreasonable effectiveness of deep features as a perceptual metric. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 586–595 (2018)"
P114,114,"GANs trained by a two time-scale update rule converge to a local Nash equilibrium. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 30 (2017)",2017,"Heusel, M., Ramsauer, H., Unterthiner, T., Nessler, B., Hochreiter, S.: GANs trained by a two time-scale update rule converge to a local Nash equilibrium. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 30 (2017)"
P115,115,"CLIPScore: A reference-free evaluation metric for image captioning. In: Proceedings of the Conference on Empirical Methods in Natural Language Processing (EMNLP), pp. 7514–7528 (2021)",2021,"Hessel, J., Holtzman, A., Forbes, M., Bras, R.L., Choi, Y.: CLIPScore: A reference-free evaluation metric for image captioning. In: Proceedings of the Conference on Empirical Methods in Natural Language Processing (EMNLP), pp. 7514–7528 (2021)"
P116,116,Deploying an efficient vision-language model on mobile devices (2025). Technical report,2025,Edge AI and Vision Alliance: Deploying an efficient vision-language model on mobile devices (2025). Technical report
P117,117,LiteVLM: A low-latency vision-language model inference pipeline for resource-constrained environments. arXiv preprint arXiv:2506.07416 (2025). Preprint; peer-review status unconfirmed at time of submission,2025,LiteVLM Team: LiteVLM: A low-latency vision-language model inference pipeline for resource-constrained environments. arXiv preprint arXiv:2506.07416 (2025). Preprint; peer-review status unconfirmed at time of submission
P118,118,AdaVFM: Adaptive vision foundation models for edge intelligence via LLM-guided execution. arXiv preprint arXiv:2604.15622 (2025). Preprint; peer-review status unconfirmed at time of submission,2025,AdaVFM Team: AdaVFM: Adaptive vision foundation models for edge intelligence via LLM-guided execution. arXiv preprint arXiv:2604.15622 (2025). Preprint; peer-review status unconfirmed at time of submission
P119,119,Direction-aware 3D large multimodal models. arXiv preprint arXiv:2602.19063 (2025). Preprint; peer-review status unconfirmed at time of submission 56,1906,Direction-Aware 3D LMM Team: Direction-aware 3D large multimodal models. arXiv preprint arXiv:2602.19063 (2025). Preprint; peer-review status unconfirmed at time of submission 56
P120,120,Adaptive point-prompt tuning: Fine-tuning heterogeneous foundation models for 3D point cloud analysis. arXiv preprint arXiv:2509.00374 (2025). Preprint; peer-review status unconfirmed at time of submission,2025,APPT Team: Adaptive point-prompt tuning: Fine-tuning heterogeneous foundation models for 3D point cloud analysis. arXiv preprint arXiv:2509.00374 (2025). Preprint; peer-review status unconfirmed at time of submission
P121,121,Advances in multimodal adaptation and generalization: From traditional approaches to foundation models. IEEE Transactions on Pattern Analysis and Machine Intelligence (2026). Early access,2026,"Dong, H., et al.: Advances in multimodal adaptation and generalization: From traditional approaches to foundation models. IEEE Transactions on Pattern Analysis and Machine Intelligence (2026). Early access"
P122,122,"Few-shot adaptation of foundation vision models for PCB defect inspection. Journal of Imaging 11(11), 415 (2025) https://doi.org/10.3390/ jimaging11110415",2025,"Lee, S.J.: Few-shot adaptation of foundation vision models for PCB defect inspection. Journal of Imaging 11(11), 415 (2025) https://doi.org/10.3390/ jimaging11110415"
P123,123,SAM-Adapter: Adapting segment anything in underperformed scenes. In: ICCV Workshop (2023),2023,"Chen, T., Zhu, L., Deng, C., Cao, R., Wang, Y., Zhang, S., Li, Z., Sun, L., Zang, Y., Mao, J.: SAM-Adapter: Adapting segment anything in underperformed scenes. In: ICCV Workshop (2023)"
P124,124,OpenCLIP (2021) https: //doi.org/10.5281/zenodo.5143773,2021,"Ilharco, G., Wortsman, M., Wightman, R., Gordon, C., Carlini, N., Taori, R., Dave, A., Shankar, V., Namkoong, H., Miller, J., et al.: OpenCLIP (2021) https: //doi.org/10.5281/zenodo.5143773"
P125,125,NeRF−−: Neural radiance fields without known camera parameters. arXiv preprint arXiv:2102.07064 (2021),2021,"Wang, Z.,Weder, S., Xie, W., Chen, M., Prisacariu, V.A.: NeRF−−: Neural radiance fields without known camera parameters. arXiv preprint arXiv:2102.07064 (2021)"
P126,126,"Mip-NeRF: A multiscale representation for anti-aliasing neural radiance fields. In: Proceedings of the IEEE/CVF International Conference on Computer Vision (ICCV), pp. 5855–5864 (2021) 57",2021,"Barron, J.T., Mildenhall, B., Tancik, M., Hedman, P., Martin-Brualla, R., Srinivasan, P.P.: Mip-NeRF: A multiscale representation for anti-aliasing neural radiance fields. In: Proceedings of the IEEE/CVF International Conference on Computer Vision (ICCV), pp. 5855–5864 (2021) 57"
